RunID__Sample01__MiFish	1000	1000
RunID__Sample02__MiFish	1000	1000
RunID__Sample03__MiFish	1000	1000
RunID__Sample04__MiFish	1000	1000
RunID__Sample05__MiFish	1000	1000
RunID__Sample06__MiFish	1000	1000
RunID__Sample07__MiFish	500	500
RunID__Sample08__MiFish	1000	1000
RunID__Sample09__MiFish	800	800
RunID__Sample10__MiFish	1000	1000
RunID__Sample11__MiFish	1000	1000
RunID__Sample12__MiFish	1000	1000
RunID__Sample13__MiFish	1000	1000
RunID__Sample14__MiFish	1000
RunID__Sample15__MiFish	500	500
RunID__Sample16__MiFish	1000	1000
RunID__Sample17__MiFish	1000	1000
RunID__Sample18__MiFish	1000	1000
RunID__Sample19__MiFish	1000	1000
RunID__Sample20__MiFish	1000	1000
RunID__Blank01__MiFish	500
RunID__Blank02__MiFish	500
RunID__Blank03__MiFish	500
RunID__Blank04__MiFish	500
